stage,accuracy_mean,accuracy_std,f1_score,dim
stage1,86.8,4.489988864128734,93.37972269639076,192
stage2,92.5,2.701851217221258,97.39760145325076,384
stage3,89.69999999999999,2.7129319932501095,97.5876596303958,768
stage4,73.9,7.9899937421752725,92.62119909430947,768
