stage,accuracy_mean,accuracy_std,f1_score,dim
stage1,93.99999999999999,1.3784048752090186,97.18971999472217,192
stage2,92.2,2.063976744055027,95.75771920644344,384
stage3,74.9,3.5552777669262388,90.19947650926635,768
stage4,47.5,2.4289915602982237,75.4345960079886,768
